taxon_id,rank,organism_name,parent,parent_rank
39,family,Cystobacteraceae,29,order
126,family,Planctomycetaceae,112,order
170,family,Leptospiraceae,203692,class
712,family,Pasteurellaceae,135625,order
403,family,Methylococcaceae,135618,order
444,family,Legionellaceae,118969,order
481,family,Neisseriaceae,206351,order
543,family,Enterobacteriaceae,91347,order
641,family,Vibrionaceae,135623,order
809,family,Chlamydiaceae,51291,order
815,family,Bacteroidaceae,171549,order
868,family,Cardiobacteriaceae,135615,order
942,family,Anaplasmataceae,766,order
972,family,Halanaerobiaceae,53433,order
1046,family,Chromatiaceae,135613,order
1106,family,Chloroflexaceae,32064,order
1217,family,Prochlorococcaceae,1212,order
1268,family,Micrococcaceae,85006,order
1653,family,Corynebacteriaceae,85007,order
2004,family,Streptosporangiaceae,85012,order
2049,family,Actinomycetaceae,2037,order
2062,family,Streptomycetaceae,85011,order
2070,family,Pseudonocardiaceae,85010,order
2092,family,Mycoplasmataceae,2085,order
2131,family,Spiroplasmataceae,186328,order
2146,family,Acholeplasmataceae,186329,order
2159,family,Methanobacteriaceae,2158,order
2194,family,Methanomicrobiaceae,2191,order
2206,family,Methanosarcinaceae,94695,order
2232,family,Archaeoglobaceae,2231,order
2236,family,Halobacteriaceae,2235,order
2259,family,Thermococcaceae,2258,order
2307,family,Pyrodictiaceae,114380,order
2878,family,Ectocarpaceae,2877,order
2943,family,Prorocentraceae,2942,order
5654,family,Trypanosomatidae,5653,order
4764,family,Saprolegniaceae,4763,order
4777,family,Peronosporaceae,4776,order
4782,family,Pythiaceae,121069,order
4806,family,Blastocladiaceae,4805,order
4851,family,Cunninghamellaceae,4827,order
4854,family,Mortierellaceae,214503,order
4858,family,Basidiobolaceae,1264872,order
4883,family,Legeriomycetaceae,61421,order
4894,family,Schizosaccharomycetaceae,34346,order
5009,family,Taphrinaceae,5008,order
5148,family,Sordariaceae,5139,order
5152,family,Ophiostomataceae,5151,order
5198,family,Cladoniaceae,5197,order
5227,family,Auriculariaceae,5226,order
5254,family,Dacrymycetaceae,28997,order
5262,family,Pucciniaceae,5258,order
5268,family,Ustilaginaceae,5267,order
5279,family,Tilletiaceae,62916,order
5304,family,Corticiaceae,452338,order
5332,family,Schizophyllaceae,5338,order
5408,family,Filobasidiaceae,90886,order
5739,family,Hexamitidae,2759,superkingdom
5765,family,Vahlkampfiidae,41165,order
5799,family,Eimeriidae,75739,order
6196,family,Opisthorchiidae,6193,order
6208,family,Taeniidae,6201,order
6250,family,Ascarididae,6249,order
6296,family,Onchocercidae,6274,order
6332,family,Trichinellidae,6329,order
10240,family,Poxviridae,10239,superkingdom
10292,family,Herpesviridae,548681,order
10404,family,Hepadnaviridae,10239,superkingdom
10442,family,Baculoviridae,10239,superkingdom
10472,family,Plasmaviridae,10239,superkingdom
10474,family,Fuselloviridae,10239,superkingdom
10482,family,Polydnaviridae,10239,superkingdom
10486,family,Iridoviridae,10239,superkingdom
10501,family,Phycodnaviridae,10239,superkingdom
10508,family,Adenoviridae,10239,superkingdom
10656,family,Tectiviridae,10239,superkingdom
10659,family,Corticoviridae,10239,superkingdom
10662,family,Myoviridae,28883,order
10780,family,Parvoviridae,10239,superkingdom
10811,family,Geminiviridae,10239,superkingdom
10841,family,Microviridae,10239,superkingdom
10860,family,Inoviridae,10239,superkingdom
10877,family,Cystoviridae,10239,superkingdom
10880,family,Reoviridae,10239,superkingdom
10993,family,Birnaviridae,10239,superkingdom
11006,family,Totiviridae,10239,superkingdom
11012,family,Partitiviridae,10239,superkingdom
11018,family,Togaviridae,10239,superkingdom
11050,family,Flaviviridae,10239,superkingdom
11158,family,Paramyxoviridae,11157,order
11308,family,Orthomyxoviridae,10239,superkingdom
11571,family,Bunyaviridae,10239,superkingdom
11617,family,Arenaviridae,10239,superkingdom
11632,family,Retroviridae,10239,superkingdom
11974,family,Caliciviridae,10239,superkingdom
11989,family,Leviviridae,10239,superkingdom
12058,family,Picornaviridae,464095,order
12283,family,Nodaviridae,10239,superkingdom
27840,family,Mermithidae,27838,order
27843,family,Fasciolidae,27871,order
27970,family,Enterocytozoonidae,6029,phylum
27974,family,Nosematidae,6029,phylum
27994,family,Theileriidae,422676,class
27999,family,Perkinsidae,27998,order
28056,family,Micromonosporaceae,85008,order
28256,family,Halomonadaceae,135619,order
28843,family,Diphyllobothriidae,1224679,order
28983,family,Sclerotiniaceae,5178,order
29007,family,Neocallimastigaceae,29006,order
29202,family,Thalassiosiraceae,33847,order
31245,family,Schistosomatidae,6180,order
31262,family,Dugesiidae,6159,order
31953,family,Bifidobacteriaceae,85004,order
31957,family,Propionibacteriaceae,85009,order
31977,family,Veillonellaceae,1843489,order
31989,family,Rhodobacteraceae,204455,order
32011,family,Methylophilaceae,206350,order
32033,family,Xanthomonadaceae,135614,order
32594,family,Babesiidae,422676,class
33636,family,Laminariaceae,2886,order
33674,family,Thraustochytriaceae,35131,class
34371,family,Erysiphaceae,5120,order
34379,family,Pseudeurotiaceae,147548,class
34384,family,Arthrodermataceae,33183,order
34397,family,Clavicipitaceae,5125,order
34418,family,Cystobasidiaceae,204043,order
34479,family,Spizellomycetaceae,34478,order
34486,family,Ancylistaceae,4857,order
35088,family,Gregarinidae,35087,order
35102,family,Pseudocohnilembidae,198613,order
35232,family,Pleistophoridae,6029,phylum
36734,family,Unikaryonidae,6029,phylum
36751,family,Glomeraceae,36750,order
37240,family,Myxotrichaceae,147548,class
37358,family,Plasmodiophoridae,2759,superkingdom
37845,family,Gyrodactylidae,37945,class
37990,family,Xylariaceae,37989,order
38749,family,Phaeodactylaceae,38748,order
39216,family,Macrostomidae,39215,order
39724,family,Circoviridae,10239,superkingdom
39729,family,Potyviridae,10239,superkingdom
39733,family,Astroviridae,10239,superkingdom
39738,family,Tombusviridae,10239,superkingdom
39740,family,Bromoviridae,10239,superkingdom
39741,family,Barnaviridae,10239,superkingdom
39748,family,Hypoviridae,10239,superkingdom
40289,family,Tuberaceae,5185,order
40420,family,Bondarzewiaceae,452342,order
40424,family,Hymenochaetaceae,139380,order
41295,family,Rhodospirillaceae,204441,order
41297,family,Sphingomonadaceae,204457,order
43219,family,Herpotrichiellaceae,34395,order
43682,family,Ascoviridae,10239,superkingdom
44281,family,Pneumocystidaceae,37987,order
45131,family,Botryosphaeriaceae,451869,order
46630,family,Picrophilaceae,2301,order
47021,family,Orbiliaceae,189479,order
49546,family,Flavobacteriaceae,200644,order
51026,family,Oxyuridae,70426,order
54124,family,Neodiplogasteridae,50827,order
55071,family,Microbotryaceae,55070,order
54588,family,Polystomatidae,40163,order
54740,family,Chionosphaeraceae,48846,order
57503,family,Urostylidae <Ciliata>,486728,order
57506,family,Oxytrichidae,693921,order
62133,family,Capnodiaceae,134362,order
62919,family,Tilletiariaceae,62913,order
64898,family,Aquificaceae,32069,order
65355,family,Albuginaceae,370421,order
68784,family,Sphaerobolaceae,157608,order
68792,family,Botryobasidiaceae,36064,order
69973,family,Closteroviridae,10239,superkingdom
72275,family,Alteromonadaceae,135622,order
72294,family,Campylobacteraceae,213849,order
74712,family,Frankiaceae,85013,order
