taxon_id,rank,organism_name,parent,parent_rank
13,genus,Dictyoglomus,203488,family
22,genus,Shewanella,267890,family
32,genus,Myxococcus,31,family
47,genus,Archangium,39,family
50,genus,Chondromyces,49,family
64,genus,Herpetosiphon,189773,family
68,genus,Lysobacter,32033,family
85,genus,Hyphomonas,69657,family
88,genus,Leptothrix,80840,order
96,genus,Gallionella,90627,family
113,genus,Gemmata,126,family
127,genus,Isosphaera,1763524,family
138,genus,Borrelia,1643685,family
171,genus,Leptospira,170,family
191,genus,Azospirillum,41295,family
194,genus,Campylobacter,72294,family
209,genus,Helicobacter,72293,family
226,genus,Alteromonas,72275,family
262,genus,Francisella,34064,family
270,genus,Thermus,188786,family
279,genus,Xanthobacter,335928,family
283,genus,Comamonas,80864,family
286,genus,Pseudomonas,135621,family
357,genus,Agrobacterium,82115,family
374,genus,Bradyrhizobium,41294,family
404,genus,Methylobacillus,32011,family
407,genus,Methylobacterium,119045,family
416,genus,Methylomonas,403,family
425,genus,Methylosinus,31993,family
434,genus,Acetobacter,433,family
445,genus,Legionella,444,family
469,genus,Acinetobacter,468,family
482,genus,Neisseria,481,family
499,genus,Thermomicrobium,189777,family
507,genus,Alcaligenes,506,family
528,genus,Ochrobactrum,118882,family
532,genus,Beijerinckia,45404,family
535,genus,Chromobacterium,1499392,family
541,genus,Zymomonas,41297,family
544,genus,Citrobacter,543,family
642,genus,Aeromonas,84642,family
657,genus,Photobacterium,641,family
724,genus,Haemophilus,712,family
773,genus,Bartonella,772,family
776,genus,Coxiella <Bacteria>,118968,family
810,genus,Chlamydia,809,family
816,genus,Bacteroides <genus>,815,family
832,genus,Fibrobacter,204431,family
836,genus,Porphyromonas,171551,family
838,genus,Prevotella,171552,family
848,genus,Fusobacterium,203492,family
862,genus,Syntrophomonas,68298,family
869,genus,Dichelobacter,868,family
872,genus,Desulfovibrio,194924,family
890,genus,Desulfuromonas,213421,family
896,genus,Desulfococcus,213119,family
898,genus,Desulfomicrobium,213116,family
904,genus,Acidaminococcus,909930,family
906,genus,Megasphaera,31977,family
914,genus,Nitrosomonas,206379,family
919,genus,Thiobacillus,206349,family
943,genus,Ehrlichia,942,family
958,genus,Bdellovibrio,213483,family
963,genus,Herbaspirillum,75682,family
1007,genus,Saprospira,89374,family
1011,genus,Sporocytophaga,89373,family
1041,genus,Erythrobacter,335929,family
1060,genus,Rhodobacter,31989,family
1091,genus,Chlorobium,191412,family
1107,genus,Chloroflexus,1106,family
1123,genus,Chlorogloeopsis,1189,order
1125,genus,Microcystis,1118,order
1129,genus,Synechococcus,1118,order
1142,genus,Synechocystis,1118,order
1152,genus,Pseudanabaena,1150,order
1154,genus,Spirulina <Cyanobacteria>,1150,order
1158,genus,Oscillatoria,1150,order
1177,genus,Nostoc,1162,family
1186,genus,Calothrix,1185,family
1190,genus,Fischerella,1189,order
1198,genus,Phormidium,1150,order
1203,genus,Scytonema,1182,family
1205,genus,Trichodesmium,1150,order
1218,genus,Prochlorococcus,1217,family
1222,genus,Prochlorothrix,1221,family
1237,genus,Piscirickettsia,135616,family
1243,genus,Leuconostoc,81850,family
1253,genus,Pediococcus,33958,family
1257,genus,Peptostreptococcus,186804,family
1269,genus,Micrococcus,1268,family
1279,genus,Staphylococcus,90964,family
1298,genus,Deinococcus,183710,family
1301,genus,Streptococcus,1300,family
1350,genus,Enterococcus,81852,family
1372,genus,Planococcus <bacterium>,186818,family
1375,genus,Aerococcus,186827,family
1378,genus,Gemella,1385,order
1380,genus,Atopobium,1643824,family
1386,genus,Bacillus <bacterium>,186817,family
1485,genus,Clostridium,31979,family
1562,genus,Desulfotomaculum,186807,family
1637,genus,Listeria,186820,family
1678,genus,Bifidobacterium,31953,family
1696,genus,Brevibacterium,85019,family
1707,genus,Cellulomonas,85016,family
1716,genus,Corynebacterium,1653,family
1730,genus,Eubacterium,186806,family
1740,genus,Thermodesulfobacterium,188711,family
1743,genus,Propionibacterium,31957,family
1754,genus,Thermoanaerobacter,186814,family
1763,genus,Mycobacterium,1762,family
1827,genus,Rhodococcus <Bacteria>,85025,family
1839,genus,Nocardioides,85015,family
1849,genus,Actinopolyspora,622451,family
1851,genus,Saccharomonospora,2070,family
1854,genus,Frankia,74712,family
1865,genus,Actinoplanes,28056,family
1883,genus,Streptomyces,2062,family
1995,genus,Microtetraspora,2004,family
2023,genus,Thermoactinomyces,186824,family
2038,genus,Tropheryma,85006,order
2053,genus,Gordonia <actinomycete>,85026,family
2056,genus,Sphaerobacter,85002,family
2060,genus,Tsukamurella,85028,family
2093,genus,Mycoplasma,2092,family
2132,genus,Spiroplasma,2131,family
2147,genus,Acholeplasma,2146,family
2160,genus,Methanobacterium,2159,family
2179,genus,Methanothermus,2178,family
2184,genus,Methanococcus,2183,family
2192,genus,Methanocorpusculum,88404,family
2202,genus,Methanospirillum,196137,family
2207,genus,Methanosarcina,2206,family
2222,genus,Methanosaeta,143067,family
2233,genus,Archaeoglobus,2232,family
2239,genus,Halobacterium,2236,family
2251,genus,Haloferax,1644056,family
2263,genus,Thermococcus,2259,family
2268,genus,Thermofilum,114378,family
2276,genus,Pyrobaculum,2267,family
2279,genus,Staphylothermus,2272,family
2284,genus,Sulfolobus,118883,family
2302,genus,Thermoplasma,46659,family
2308,genus,Pyrodictium,2307,family
2335,genus,Thermotoga,188709,family
2383,genus,Epulopiscium,186802,order
2422,genus,Fervidobacterium,1643950,family
2697,genus,Heliobacterium,31984,family
2733,genus,Symbiobacterium,543349,family
2735,genus,Verrucomicrobium,203557,family
2745,genus,Halomonas,28256,family
2747,genus,Carnobacterium,186828,family
2753,genus,Synergistes,649777,family
2849,genus,Phaeodactylum,38749,family
2879,genus,Ectocarpus,2878,family
2902,genus,Emiliania,418966,family
2944,genus,Prorocentrum,2943,family
2949,genus,Symbiodinium,252141,family
3038,genus,Euglena,1131320,family
4753,genus,Pneumocystis,44281,family
5655,genus,Crithidia,5654,family
4772,genus,Schizochytrium,33674,family
4780,genus,Plasmopara,4777,family
4783,genus,Phytophthora,4776,order
4797,genus,Pythium,4782,family
4815,genus,Spizellomyces,34479,family
4828,genus,Absidia <zygomycete fungus>,4851,family
4836,genus,Phycomyces,1344966,family
4842,genus,Rhizopus,1344955,family
4855,genus,Mortierella,4854,family
4859,genus,Basidiobolus,4858,family
4884,genus,Capniomyces,4883,family
4895,genus,Schizosaccharomyces,4894,family
4910,genus,Kluyveromyces,4893,family
4919,genus,Pichia,1156497,family
4943,genus,Saccharomycopsis,34366,family
4951,genus,Yarrowia,34353,family
4958,genus,Debaryomyces,766764,family
5010,genus,Taphrina,5009,family
5021,genus,Leptosphaeria,34374,family
5024,genus,Venturia <fungus>,5023,family
5036,genus,Histoplasma,299071,family
5052,genus,Aspergillus,1131492,family
5086,genus,Thermoascus,1131624,family
5094,genus,Talaromyces,28568,family
5100,genus,Amorphotheca,37240,family
5104,genus,Ascosphaera,5103,family
5112,genus,Epichloe,34397,family
5121,genus,Erysiphe,34371,family
5140,genus,Neurospora,5148,family
5144,genus,Podospora,42302,family
5149,genus,Chaetomium,35718,family
5179,genus,Sclerotinia,28983,family
5182,genus,Hymenoscyphus,5181,family
5199,genus,Cladonia,5198,family
5218,genus,Exidia,34426,family
5230,genus,Auricularia,5227,family
5240,genus,Tulasnella,5237,family
5260,genus,Melampsora,5259,family
5721,genus,Trichomonas,181550,family
5269,genus,Ustilago,5268,family
5277,genus,Leucosporidium,1163720,family
5280,genus,Tilletiaria,62919,family
5296,genus,Puccinia,5262,family
5305,genus,Phanerochaete,396331,family
5309,genus,Athelia,80628,family
5314,genus,Ganoderma,5313,family
5320,genus,Pleurotus,104366,family
5324,genus,Trametes,83233,family
5333,genus,Schizophyllum,5332,family
5340,genus,Agaricus,5339,family
5352,genus,Lentinula,72117,family
5357,genus,Lentinus,83234,family
5375,genus,Rhizopogon,48595,family
5379,genus,Suillus,227336,family
5395,genus,Paxillus,5394,family
5413,genus,Erythrobasidium,165790,family
5453,genus,Ascochyta,683158,family
5455,genus,Colletotrichum,681950,family
5473,genus,Leptoxyphium,62133,family
5475,genus,Candida <Saccharomycetales>,4892,order
5498,genus,Cladosporium,452563,family
5500,genus,Coccidioides,33183,order
5506,genus,Fusarium,110618,family
5533,genus,Rhodotorula <Sporidiobolaceae>,1799696,family
5543,genus,Trichoderma,5129,family
5550,genus,Trichophyton,34384,family
5579,genus,Aureobasidium,1570301,family
5598,genus,Alternaria,28556,family
5605,genus,Saitoella,4890,phylum
5644,genus,Stereum,103376,family
5712,genus,Bodo,5708,family
5740,genus,Giardia,5739,family
5748,genus,Nannochloropsis,425072,family
5754,genus,Acanthamoeba,1485168,order
5758,genus,Entamoeba,2759,superkingdom
5761,genus,Naegleria,5765,family
5782,genus,Dictyostelium,33083,order
5790,genus,Physarum,1115744,family
5800,genus,Eimeria,5799,family
5806,genus,Cryptosporidium,35082,family
5812,genus,Sarcocystis,5809,family
5820,genus,Plasmodium <genus>,1639119,family
5864,genus,Babesia,32594,family
5873,genus,Theileria,27994,family
5884,genus,Paramecium,340080,family
5890,genus,Tetrahymena,291294,family
5931,genus,Ichthyophthirius,31277,order
5948,genus,Stylonychia,57506,family
6013,genus,Paraurostyla,99916,family
6033,genus,Encephalitozoon,36734,family
6181,genus,Schistosoma,31245,family
6191,genus,Fasciola,27843,family
6197,genus,Opisthorchis,6196,family
6215,genus,Hymenolepis <Cestoda>,6214,family
6232,genus,Panagrellus,114848,family
6237,genus,Caenorhabditis,6243,family
6247,genus,Strongyloides,6246,family
6251,genus,Ascaris,6250,family
6264,genus,Toxocara,33259,family
6268,genus,Anisakis,6267,family
