taxon_id,rank,organism_name,parent,parent_rank
2419,order,Thermotogales,188708,class
29,order,Myxococcales,28221,class
112,order,Planctomycetales,203683,class
136,order,Spirochaetales,203692,class
1118,order,Chroococcales,1117,phylum
1150,order,Oscillatoriales,1117,phylum
1161,order,Nostocales,1117,phylum
1189,order,Stigonematales,1117,phylum
1212,order,Prochlorales,1117,phylum
2085,order,Mycoplasmatales,31969,class
2158,order,Methanobacteriales,183925,class
2182,order,Methanococcales,183939,class
2191,order,Methanomicrobiales,224756,class
2231,order,Archaeoglobales,183980,class
2258,order,Thermococcales,183968,class
2281,order,Sulfolobales,183924,class
2301,order,Thermoplasmatales,183967,class
2877,order,Ectocarpales,2870,phylum
2886,order,Laminariales,2870,phylum
2942,order,Prorocentrales,2864,class
2978,order,Tribonematales,2833,phylum
4776,order,Peronosporales,4762,class
4805,order,Blastocladiales,451460,class
4827,order,Mucorales,4751,kingdom
4857,order,Entomophthorales,1399770,class
4892,order,Saccharomycetales,4891,class
5008,order,Taphrinales,147555,class
5042,order,Eurotiales,147545,class
5125,order,Hypocreales,147550,class
5185,order,Pezizales,147549,class
5234,order,Tremellales,155616,class
5258,order,Pucciniales,162484,class
5267,order,Ustilaginales,5257,class
5303,order,Polyporales,155619,class
5653,order,Kinetoplastida,2759,superkingdom
5789,order,Physariida,2759,superkingdom
5819,order,Haemosporida,422676,class
6159,order,Tricladida,6157,phylum
6180,order,Strigeidida,6178,class
6201,order,Cyclophyllidea,6199,class
6236,order,Rhabditida,119089,class
6329,order,Trichocephalida,119088,class
11157,order,Mononegavirales,10239,superkingdom
27998,order,Perkinsida,2759,superkingdom
28883,order,Caudovirales,10239,superkingdom
28997,order,Dacrymycetales,452332,class
29006,order,Neocallimastigales,451456,class
31932,order,Nitrosopumilales,651137,phylum
32069,order,Aquificales,187857,class
33083,order,Dictyosteliida,2759,superkingdom
33651,order,Bicosoecida,2759,superkingdom
33825,order,Peniculida,6020,class
33847,order,Thalassiosirales,33836,class
34346,order,Schizosaccharomycetales,147554,class
35087,order,Eugregarinorida,35086,class
36750,order,Glomerales,214506,class
37104,order,Trichomonadida,2759,superkingdom
37987,order,Pneumocystidales,147553,class
38748,order,Naviculales,33849,class
39215,order,Macrostomida,6157,phylum
41165,order,Schizopyrenida,5752,class
48461,order,Verrucomicrobiales,203494,class
48846,order,Agaricostilbales,162480,class
51291,order,Chlamydiales,204429,class
52604,order,Pleurocapsales,1117,phylum
54409,order,Pelagomonadales,35675,class
61421,order,Harpellales,4751,kingdom
62916,order,Tilletiales,452283,class
66288,order,Oxymonadida,2759,superkingdom
68933,order,Thermales,188787,class
73020,order,Isochrysidales,2759,superkingdom
73028,order,Prymnesiales,2759,superkingdom
75739,order,Eucoccidiorida,5796,class
76804,order,Nidovirales,10239,superkingdom
79272,order,Monoblepharidales,451454,class
80840,order,Burkholderiales,28216,class
84993,order,Acidimicrobiales,84992,class
84996,order,Rubrobacterales,84995,class
84999,order,Coriobacteriales,84998,class
85006,order,Micrococcales,1760,class
86650,order,Euglenales,3035,phylum
92860,order,Pleosporales,147541,class
135614,order,Xanthomonadales,1236,class
162474,order,Malasseziales,1538075,class
171549,order,Bacteroidales,200643,class
186802,order,Clostridiales,186801,class
186826,order,Lactobacillales,91061,class
188710,order,Thermodesulfobacteriales,67799,class
189479,order,Orbiliales,189478,class
189769,order,Chrysiogenales,118001,class
189772,order,Herpetosiphonales,32061,class
189776,order,Thermomicrobiales,189775,class
189778,order,Nitrospirales,203693,class
191393,order,Deferribacterales,68337,class
191411,order,Chlorobiales,191410,class
191814,order,Diplonemida,2759,superkingdom
200644,order,Flavobacteriales,117743,class
200666,order,Sphingobacteriales,117747,class
203487,order,Dictyoglomales,203486,class
203491,order,Fusobacteriales,203490,class
204043,order,Cystobasidiales,432005,class
204433,order,Acidobacteriales,204432,class
204441,order,Rhodospirillales,28211,class
213849,order,Campylobacterales,29547,class
214503,order,Mortierellales,4751,kingdom
218872,order,Fibrobacterales,204430,class
219686,order,Gemmatimonadales,219685,class
225057,order,Acidithiobacillales,1807140,class
231213,order,Sporidiobolales,162481,class
278081,order,Lentisphaerales,1313211,class
292629,order,Anaerolineales,292625,class
307595,order,Gloeobacterales,307596,class
332160,order,Solibacterales,332159,class
388448,order,Ktedonobacterales,388447,class
415000,order,Opitutales,414999,class
425074,order,Eustigmatales,5747,phylum
431958,order,Wallemiales,431957,class
432026,order,Mixiales,432025,class
451442,order,Rhizophydiales,451435,class
452227,order,Umbilicariales,147547,class
464095,order,Picornavirales,10239,superkingdom
471822,order,Haloplasmatales,2,superkingdom
475963,order,Caldilineales,475962,class
526525,order,Erysipelotrichales,526524,class
548681,order,Herpesvirales,10239,superkingdom
574975,order,Holophagales,533205,class
580371,order,Mariprofundales,580370,class
588673,order,Solirubrobacterales,1497346,class
589342,order,Pyrenomonadales,3027,class
596497,order,Nitriliruptorales,908620,class
641854,order,Elusimicrobiales,641853,class
649776,order,Synergistales,649775,class
666506,order,Phycisphaerales,666505,class
675063,order,Tymovirales,10239,superkingdom
693072,order,Caldisericales,693071,class
693921,order,Sporadotrichida,33829,class
717963,order,Methylacidiphilales,74201,phylum
768507,order,Cytophagales,768503,class
795748,order,Ignavibacteriales,795747,class
1033996,order,Nitrososphaerales,1643678,class
1077263,order,Chthonomonadales,1077257,class
1100069,order,Bacteroidetes Order II. Incertae sedis,976,phylum
1202465,order,Dehalococcoidales,301297,class
1217820,order,Xylonomycetales,1217819,class
1264872,order,Basidiobolales,1399768,class
1293499,order,Nitrospinales,1293498,class
1339693,order,Geminibasidiales,1708517,class
1382929,order,Ardenticatenales,1382928,class
1485168,order,Longamoebia,2759,superkingdom
1505233,order,Chitinivibrionales,296141,class
1511857,order,Ligamenvirales,10239,superkingdom
1644060,order,Natrialbales,183963,class
1663425,order,Fimbriimonadales,1663419,class
1676649,order,Limnochordales,1676648,class
1737405,order,Tissierellales,1737404,class
1783344,order,Endomicrobiales,447830,class
1803398,order,Candidatus Peribacterales,1801911,class
1836787,order,Chthoniobacterales,134549,class
1843489,order,Veillonellales,909932,class
1853223,order,Balneolales,1853221,class
1853229,order,Chitinophagales,1853228,class
